Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;

Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;
2017-08-07;16:57:33;79167;BSF7;2006.11.24.;580;128 K;Remote;2011.11.11.;2000;5,3 %;3,41;122;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:57:43;79104;BSF7;2006.11.24.;580;128 K;Remote;2014.03.06.;2000;15,9 %;2,75;123;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:57:57;79112;BSF7;2006.11.24.;580;128 K;Remote;2012.05.09.;2000;5,3 %;3,43;124;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:58:06;79189;BSF7;2006.11.24.;580;128 K;Remote;2012.05.03.;2000;5,4 %;3,34;125;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;17:20:00;133364;BSM7 UART1 (USB);2011.03.09.;573;128 K;Direct;2011.03.09.;2000;144,6 %;N/A;4;Readout; 00:02:00;RealTimeClock!; -;N/A; -;N/A; -; -;N/A;N/A;N/A;N/A;ConfigRead;
2017-08-07;17:20:10;133364;BSM7 UART1 (USB);2011.03.09.;573;128 K;Direct;2011.03.09.;2000;144,6 %;N/A;4;Readout; 00:02:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -; -;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;17:36:02;92161;BSM8 Master;2006.11.01.;580;128 K;Remote;2009.10.22.;1000;13,0 %;3,49;1;Clear; 04:00:00;RealTimeClock!; -;N/A; -;N/A;Card6With192Records!;N/A;N/A;N/A;N/A;N/A;ConfigRead;

Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;
2017-08-07;17:36:10;92161;BSM8 Master;2006.11.01.;580;128 K;Remote;2009.10.22.;1000;13,0 %;3,49;1;Clear; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A;Card6With192Records!;N/A;N/A;N/A;N/A;N/A;ConfigWritten;

Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;
2017-08-07;17:41:31;79183;BSF7;2006.11.24.;580;128 K;Remote;2015.02.12.;2000;10,8 %;2,85;62;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;17:41:45;79188;BSF7;2006.11.24.;580;128 K;Remote;2013.02.24.;2000;21,7 %;2,80;87;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;17:41:58;79168;BSF7;2006.11.24.;580;128 K;Remote;2014.03.06.;2000;16,0 %;2,83;102;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;17:43:08;133364;BSM7 UART1 (USB);2011.03.09.;573;128 K;Direct;2011.03.09.;2000;144,6 %;N/A;4;Readout; 00:02:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -; -;N/A;N/A;N/A;N/A;ConfigRead;
2017-08-07;18:17:39;137926;BSF7;2013.02.26.;656;128 K;Remote;2013.02.26.;2000;21,4 %;2,85;31;Control; 04:00:00;RealTimeClock!; -;N/A; -;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigRead;
2017-08-07;18:18:13;137926;BSF7;2013.02.26.;656;128 K;Remote;2013.02.26.;2000;21,4 %;2,85;31;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;18:18:26;137837;BSF7;2013.02.28.;656;128 K;Remote;2013.02.28.;2000;21,1 %;2,88;32;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;18:18:43;137872;BSF7;2013.02.28.;656;128 K;Remote;2013.02.28.;2000;20,8 %;3,16;33;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
